Row_ID,As_Of_Date,Material_Price_Index,City,City_Tier,City_Multiplier,Labor_Day_Rate_Min,Labor_Day_Rate_Max,Room_Type,Area_Sqft,Renovation_Level,Paint_Quality,Floor_Type,Floor_Quality,Ceiling_Type,Ceiling_Quality,Has_Electrical,Furniture_Level,Kitchen_Package,Bathroom_Package,Painting_Material_Cost,Painting_Labor_Cost,Flooring_Material_Cost,Flooring_Labor_Cost,Ceiling_Material_Cost,Ceiling_Labor_Cost,Electrical_Material_Cost,Electrical_Labor_Cost,Kitchen_Package_Cost,Bathroom_Package_Cost,Plumbing_Cost,Furniture_Cost,Wastage_Sundries_Cost,Contractor_Overhead_Cost,GST_Amount,Grand_Total,Total_Cost_per_Sqft
1417,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Living Room,384,Mid,Standard,Marble,Economy,POP,Premium,True,Standard,None,None,13152,1327,335996,1905,56137,2447,33976,1672,0,0,0,116583,36262,130098,131320,860875,2241.86
1418,2025-09-07,1.0,Lucknow,Tier-2,0.92,500,650,Bathroom,400,Basic,Standard,Ceramic_Tile,Standard,None,None,True,None,None,Basic,11579,848,44805,1539,0,0,36459,1519,0,77373,69346,0,15738,24834,51127,335166,837.92
1419,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Kids Room,322,Mid,Standard,Ceramic_Tile,Economy,None,None,True,Standard,None,None,6758,683,31735,1241,0,0,43856,1036,0,0,0,132448,20212,34188,48988,321144,997.34
1420,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Kids Room,293,Basic,Economy,Vitrified_Tile,Luxury,None,None,False,None,None,None,4466,758,57098,1382,0,0,0,0,0,0,0,0,5756,7199,13798,90457,308.73
1421,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Study,378,Mid,Standard,Ceramic_Tile,Standard,None,None,True,Basic,None,None,7088,757,36841,2161,0,0,36935,1172,0,0,0,54875,12207,27127,32249,211412,559.29
1422,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Study,487,Luxury,Standard,Vitrified_Tile,Economy,Gypsum,Economy,True,Basic,None,None,8403,974,46553,2170,60105,1335,43721,1399,0,0,0,35502,16561,55445,48991,321161,659.47
1423,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Bedroom,469,Luxury,Premium,Ceramic_Tile,Economy,POP,Premium,True,Premium,None,None,15047,834,37759,2348,76707,1454,55127,1893,0,0,0,274780,37981,156559,118888,779376,1661.78
1424,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Kitchen,357,Basic,Standard,Ceramic_Tile,Standard,POP,Standard,True,None,Basic_L,None,10571,914,29826,1434,27981,1030,24121,1230,191578,0,45111,0,20393,33380,69762,457331,1281.04
1425,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Bathroom,314,Luxury,Premium,Ceramic_Tile,Standard,None,None,True,None,None,Standard,11066,805,38695,2220,0,0,23206,1017,0,193088,63327,0,32236,100361,83884,549904,1751.29
1426,2025-09-07,1.0,Coimbatore,Tier-2,0.95,520,660,Kitchen,206,Mid,Economy,Ceramic_Tile,Economy,Gypsum,Standard,False,None,Standard_L,None,6057,617,20025,1102,34578,792,0,0,413774,0,34862,0,44527,104920,119025,780278,3787.76
1427,2025-09-07,1.0,Pune,Metro,1.2,700,850,Kitchen,128,Mid,Standard,Vitrified_Tile,Luxury,None,None,True,None,Basic_L,None,5348,755,31174,859,0,0,23375,761,259977,0,68705,0,37272,78191,91155,597571,4668.52
1428,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Study,175,Luxury,Economy,Ceramic_Tile,Premium,None,None,True,Standard,None,None,4427,696,20886,1137,0,0,20800,688,0,0,0,131582,10044,50641,43362,284262,1624.35
1429,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Bathroom,268,Mid,Economy,Ceramic_Tile,Standard,None,None,True,None,None,Basic,4743,898,35693,1065,0,0,17809,894,0,119725,46928,0,12963,35757,49765,326240,1217.32
1430,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Study,247,Basic,Standard,Ceramic_Tile,Luxury,Grid,Standard,False,None,None,None,5613,622,36459,1110,26434,867,0,0,0,0,0,0,5134,9670,15463,101371,410.41
1431,2025-09-07,1.0,Coimbatore,Tier-2,0.95,520,660,Study,369,Basic,Standard,Wood_Laminate,Economy,None,None,False,None,None,None,8878,881,52573,1628,0,0,0,0,0,0,0,0,4664,9466,14056,92147,249.72
1432,2025-09-07,1.0,Chandigarh,Tier-2,1.02,600,750,Living Room,491,Luxury,Premium,Ceramic_Tile,Standard,None,None,True,Standard,None,None,12665,1583,71828,2488,0,0,76214,1603,0,0,0,131360,23833,85154,73211,479938,977.47
1433,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Study,467,Mid,Premium,Vitrified_Tile,Standard,Gypsum,Economy,True,Premium,None,None,18280,1487,78040,2826,47099,1444,60158,1425,0,0,0,435507,44603,156396,152508,999773,2140.84
1434,2025-09-07,1.0,Chandigarh,Tier-2,1.02,600,750,Kids Room,333,Luxury,Standard,Wood_Laminate,Luxury,None,None,True,Basic,None,None,9671,751,122779,1711,0,0,43647,1344,0,0,0,52389,19504,75495,58913,386205,1159.77
1435,2025-09-07,1.0,Vadodara,Tier-2,0.98,550,700,Kids Room,111,Luxury,Economy,Vitrified_Tile,Standard,Gypsum,Standard,True,Basic,None,None,2920,585,10121,609,20626,647,17068,640,0,0,0,59286,9941,31501,27710,181654,1636.52
1436,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Kids Room,393,Basic,Premium,Wood_Laminate,Economy,POP,Economy,False,None,None,None,15634,1728,74655,2987,56208,1774,0,0,0,0,0,0,7360,16522,31836,208704,531.05
1437,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Living Room,108,Mid,Economy,Wood_Laminate,Standard,Gypsum,Premium,True,Basic,None,None,2243,455,20199,585,15893,586,12633,554,0,0,0,59480,5960,17457,24488,160531,1486.4
1438,2025-09-07,1.0,Coimbatore,Tier-2,0.95,520,660,Bathroom,487,Basic,Economy,Vitrified_Tile,Standard,None,None,True,None,None,Basic,9183,1241,81238,1696,0,0,62315,1332,0,109938,41061,0,26053,43428,67947,445432,914.65
1439,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Bathroom,75,Mid,Luxury,Vitrified_Tile,Premium,None,None,False,None,None,Standard,1747,543,11655,579,0,0,0,0,0,155575,40719,0,19265,34574,47638,312297,4163.96
1440,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Bedroom,252,Luxury,Standard,Vitrified_Tile,Standard,Gypsum,Premium,True,None,None,None,5298,757,43083,1176,52137,1228,27543,801,0,0,0,0,12515,33138,31982,209659,831.98
1441,2025-09-07,1.0,Pune,Metro,1.2,700,850,Living Room,497,Mid,Economy,Granite,Premium,Grid,Standard,False,Standard,None,None,14275,1596,288257,3394,59981,1984,0,0,0,0,0,147877,31488,112785,119095,780731,1570.89
1442,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Living Room,152,Luxury,Economy,Granite,Standard,POP,Luxury,True,Basic,None,None,3898,846,40628,1384,23555,817,17027,798,0,0,0,65363,7992,47375,37743,247428,1627.81
1443,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Dining,190,Mid,Economy,Ceramic_Tile,Economy,Gypsum,Standard,True,Standard,None,None,3477,503,16464,618,20892,816,22567,705,0,0,0,125410,14772,40397,44392,291013,1531.65
1444,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Kids Room,401,Basic,Standard,Vitrified_Tile,Economy,Gypsum,Economy,False,Basic,None,None,14779,1329,54855,1859,50241,1983,0,0,0,0,0,82335,18764,22190,44700,293035,730.76
1445,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Kids Room,107,Basic,Standard,Ceramic_Tile,Standard,Gypsum,Standard,False,Basic,None,None,3165,562,11189,527,16398,592,0,0,0,0,0,31632,3888,7880,13650,89482,836.28
1446,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Dining,127,Basic,Economy,Marble,Premium,Gypsum,Premium,True,None,None,None,3287,527,78341,541,20009,583,9578,493,0,0,0,0,10743,16551,25318,165972,1306.87
1447,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Kids Room,524,Basic,Economy,Ceramic_Tile,Economy,POP,Economy,False,None,None,None,13143,1417,65752,2164,40506,2042,0,0,0,0,0,0,7569,13253,26252,172099,328.43
1448,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Dining,297,Basic,Standard,Vitrified_Tile,Economy,POP,Standard,False,Basic,None,None,5590,610,40830,1126,28051,1116,0,0,0,0,0,46066,10329,14560,26690,174969,589.12
1449,2025-09-07,1.0,Chandigarh,Tier-2,1.02,600,750,Kitchen,437,Mid,Standard,Vitrified_Tile,Standard,Grid,Economy,True,None,Basic_L,None,12246,1106,57121,2336,49430,1385,44580,1917,289285,0,59025,0,41722,105241,119771,785165,1796.72
1450,2025-09-07,1.0,Mumbai,Metro,1.3,800,950,Kids Room,120,Mid,Standard,Vitrified_Tile,Economy,None,None,True,None,None,None,5135,814,26261,1111,0,0,13325,930,0,0,0,0,2722,8040,10501,68840,573.67
1451,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Bathroom,85,Mid,Standard,Granite,Premium,None,None,True,None,None,Standard,2807,691,44352,563,0,0,12754,590,0,148882,82092,0,15723,51813,64848,425116,5001.36
1452,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Dining,414,Basic,Premium,Vitrified_Tile,Standard,Gypsum,Standard,False,None,None,None,14553,788,69251,1634,52256,1243,0,0,0,0,0,0,9803,19981,30511,200019,483.14
1453,2025-09-07,1.0,Pune,Metro,1.2,700,850,Kitchen,172,Luxury,Premium,Ceramic_Tile,Standard,None,None,True,None,Luxury_Island,None,7877,754,21731,1066,0,0,24275,828,1059647,0,39854,0,77254,360682,286915,1880884,10935.37
1454,2025-09-07,1.0,Coimbatore,Tier-2,0.95,520,660,Kids Room,496,Basic,Premium,Ceramic_Tile,Luxury,None,None,False,Premium,None,None,15015,1214,102918,2428,0,0,0,0,0,0,0,264796,33389,43660,83415,546834,1102.49
1455,2025-09-07,1.0,Kanpur,Tier-3,0.9,480,620,Bedroom,512,Luxury,Standard,Ceramic_Tile,Premium,POP,Standard,False,Basic,None,None,9189,949,62516,1946,67010,1889,0,0,0,0,0,44359,9236,54855,45351,297301,580.67
1456,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Kids Room,440,Mid,Standard,Vitrified_Tile,Economy,Gypsum,Premium,False,Standard,None,None,12877,1215,46951,2722,118124,2152,0,0,0,0,0,220241,32629,63877,90142,590930,1343.02
1457,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Living Room,98,Mid,Standard,Ceramic_Tile,Premium,None,None,True,None,None,None,2299,706,14938,791,0,0,10539,705,0,0,0,0,1507,7165,6957,45605,465.36
1458,2025-09-07,1.0,Lucknow,Tier-2,0.92,500,650,Living Room,193,Basic,Economy,Epoxy,Standard,None,None,False,Standard,None,None,5169,659,20931,728,0,0,0,0,0,0,0,128765,11282,20625,33869,222028,1150.4
1459,2025-09-07,1.0,Indore,Tier-2,0.96,550,700,Study,295,Mid,Premium,Ceramic_Tile,Standard,POP,Premium,True,Basic,None,None,9028,1031,33482,1241,36623,1004,29228,985,0,0,0,33762,7138,25032,32140,210693,714.21
1460,2025-09-07,1.0,Lucknow,Tier-2,0.92,500,650,Kids Room,476,Luxury,Economy,Ceramic_Tile,Luxury,None,None,True,Standard,None,None,7265,1148,69147,2424,0,0,47174,1250,0,0,0,109737,22244,60965,57844,379199,796.64
1461,2025-09-07,1.0,Indore,Tier-2,0.96,550,700,Kids Room,109,Basic,Economy,Ceramic_Tile,Standard,None,None,True,Basic,None,None,2757,607,9240,554,0,0,10088,625,0,0,0,40038,4365,6647,13486,88406,811.07
1462,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Kitchen,145,Mid,Standard,Granite,Standard,POP,Premium,False,None,Basic_L,None,4269,606,65751,743,25167,684,0,0,149268,0,60911,0,29593,65784,72500,475278,3277.78
1463,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Kids Room,209,Mid,Premium,Marble,Economy,Grid,Standard,False,Basic,None,None,6995,566,111557,1114,32515,793,0,0,0,0,0,37611,17674,43773,45468,298065,1426.15
1464,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Dining,95,Basic,Standard,Ceramic_Tile,Standard,Grid,Economy,True,Standard,None,None,1540,558,11727,612,11504,511,11427,508,0,0,0,105760,8856,20325,31199,204528,2152.93
1465,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Dining,206,Basic,Premium,Marble,Premium,Gypsum,Economy,True,Basic,None,None,4700,738,114323,1583,23874,908,20897,690,0,0,0,64577,11887,26946,48802,319926,1553.04
1466,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Study,528,Basic,Premium,Wood_Laminate,Premium,Grid,Economy,False,Basic,None,None,16153,1764,107357,3932,63870,2601,0,0,0,0,0,70752,24755,33037,58359,382578,724.58
1467,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Living Room,296,Luxury,Premium,Epoxy,Standard,POP,Economy,True,None,None,None,12372,1152,56677,2001,38328,1872,35850,1607,0,0,0,0,14056,45557,37705,247176,835.05
1468,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Dining,228,Luxury,Standard,Ceramic_Tile,Premium,POP,Economy,True,Basic,None,None,8739,721,34521,1794,21467,892,34370,1085,0,0,0,52607,13249,42954,38232,250631,1099.26
1469,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Bathroom,80,Mid,Standard,Vitrified_Tile,Premium,None,None,True,None,None,Standard,2357,792,11930,874,0,0,10496,766,0,296098,64149,0,38286,67806,88840,582394,7279.93
1470,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Living Room,287,Luxury,Economy,Ceramic_Tile,Standard,None,None,True,None,None,None,6424,629,34441,1016,0,0,32494,712,0,0,0,0,5671,22336,18670,122393,426.46
1471,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Kitchen,324,Luxury,Economy,Ceramic_Tile,Standard,Grid,Premium,True,None,Premium_U,None,7190,732,24693,1577,48959,929,27482,929,433541,0,22182,0,35474,176146,140370,920204,2840.14
1472,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Living Room,215,Basic,Premium,Vitrified_Tile,Premium,Gypsum,Standard,False,Standard,None,None,7005,600,25182,957,28221,975,0,0,0,0,0,141607,17711,30477,45492,298227,1387.1
1473,2025-09-07,1.0,Vadodara,Tier-2,0.98,550,700,Bathroom,138,Luxury,Premium,Vitrified_Tile,Premium,None,None,True,None,None,Standard,4846,559,22843,1025,0,0,12404,655,0,114461,74969,0,11621,79958,58201,381541,2764.79
1474,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Dining,366,Luxury,Standard,Vitrified_Tile,Standard,None,None,True,None,None,None,11005,996,49461,1523,0,0,46938,901,0,0,0,0,5855,36018,27486,180183,492.3
1475,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Study,95,Mid,Standard,Wood_Laminate,Standard,Gypsum,Premium,True,Basic,None,None,1887,599,14223,613,20976,613,10133,552,0,0,0,35971,5879,17285,19571,128302,1350.55
1476,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Living Room,169,Mid,Economy,Wood_Laminate,Economy,Gypsum,Premium,False,Basic,None,None,6432,827,28155,831,42845,1074,0,0,0,0,0,61740,10341,27245,32308,211796,1253.23
1477,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Dining,301,Luxury,Luxury,Ceramic_Tile,Premium,None,None,False,None,None,None,10097,818,28850,1685,0,0,0,0,0,0,0,0,2624,12974,10269,67318,223.65
1478,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Study,107,Mid,Economy,Vitrified_Tile,Economy,Grid,Standard,False,Basic,None,None,2157,608,11523,616,11615,619,0,0,0,0,0,42565,6149,11362,15699,102915,961.82
1479,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Bathroom,448,Basic,Standard,Ceramic_Tile,Standard,None,None,True,None,None,Basic,15537,1595,74465,2619,0,0,40771,1700,0,162138,62328,0,30986,39727,77736,509602,1137.5
1480,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Living Room,78,Basic,Standard,Ceramic_Tile,Premium,POP,Standard,False,Basic,None,None,2162,553,11724,532,9392,521,0,0,0,0,0,59833,5939,9743,18072,118471,1518.86
1481,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Study,415,Mid,Luxury,Wood_Laminate,Luxury,POP,Standard,True,Standard,None,None,14410,861,77227,1510,49816,1043,40394,1198,0,0,0,127501,22894,63106,71993,471953,1137.24
1482,2025-09-07,1.0,Chandigarh,Tier-2,1.02,600,750,Bedroom,382,Basic,Premium,Wood_Laminate,Standard,None,None,True,Basic,None,None,8497,969,88080,2025,0,0,35162,1380,0,0,0,64581,10873,24284,42453,278305,728.55
1483,2025-09-07,1.0,Pune,Metro,1.2,700,850,Living Room,411,Luxury,Premium,Ceramic_Tile,Standard,Gypsum,Standard,True,Standard,None,None,14824,1423,71545,2399,80048,2354,68830,1755,0,0,0,131053,28238,106282,91575,600327,1460.65
1484,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Dining,240,Luxury,Standard,Vitrified_Tile,Standard,POP,Premium,True,None,None,None,10038,1135,46374,1647,30942,1290,24717,1288,0,0,0,0,10908,36403,29653,194395,809.98
1485,2025-09-07,1.0,Nagpur,Tier-2,0.95,520,680,Bedroom,473,Luxury,Standard,Ceramic_Tile,Luxury,None,None,True,Standard,None,None,8269,1610,93400,2617,0,0,41809,1626,0,0,0,169741,29183,90297,78940,517492,1094.06
1486,2025-09-07,1.0,Bangalore,Metro,1.25,750,900,Study,493,Luxury,Standard,Granite,Standard,None,None,True,Basic,None,None,18811,2372,256167,3201,0,0,71732,2253,0,0,0,98311,39703,137666,113439,743656,1508.43
1487,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Kids Room,353,Basic,Economy,Ceramic_Tile,Economy,Grid,Premium,False,None,None,None,6188,1245,39698,1993,40298,1751,0,0,0,0,0,0,8006,10850,19805,129834,367.8
1488,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Study,411,Luxury,Economy,Ceramic_Tile,Economy,Gypsum,Economy,True,Basic,None,None,13019,1296,61475,1755,65488,1323,46542,1188,0,0,0,68067,17153,89493,66024,432823,1053.1
1489,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Kids Room,226,Mid,Premium,Vitrified_Tile,Standard,Grid,Standard,True,Standard,None,None,4534,516,23765,859,25837,832,27899,554,0,0,0,118574,15072,47589,47886,313917,1389.01
1490,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Bedroom,97,Basic,Luxury,Ceramic_Tile,Economy,None,None,False,Basic,None,None,2509,576,12196,567,0,0,0,0,0,0,0,39858,5045,6517,12108,79376,818.31
1491,2025-09-07,1.0,Jaipur,Tier-2,0.95,550,700,Bathroom,128,Mid,Standard,Granite,Premium,None,None,True,None,None,Standard,2334,637,33274,593,0,0,12807,688,0,169069,82128,0,26265,63623,70455,461873,3608.38
1492,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Kids Room,345,Basic,Standard,Ceramic_Tile,Economy,Grid,Standard,False,None,None,None,8479,1030,29824,2391,40656,1774,0,0,0,0,0,0,7763,10772,18484,121173,351.23
1493,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Study,90,Mid,Premium,Ceramic_Tile,Economy,Grid,Standard,True,None,None,None,2843,520,8448,567,11208,515,8723,546,0,0,0,0,2549,7007,7726,50651,562.79
1494,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Kids Room,419,Luxury,Premium,Vitrified_Tile,Premium,Gypsum,Premium,True,Basic,None,None,15727,1671,79095,2433,83208,1514,44696,1199,0,0,0,61682,26629,100181,75246,493281,1177.28
1495,2025-09-07,1.0,Coimbatore,Tier-2,0.95,520,660,Study,74,Mid,Economy,Ceramic_Tile,Economy,Gypsum,Economy,False,Basic,None,None,1271,651,5655,551,7305,581,0,0,0,0,0,56663,7045,16352,17293,113368,1532.01
1496,2025-09-07,1.0,Varanasi,Tier-3,0.9,480,620,Dining,335,Basic,Premium,Ceramic_Tile,Economy,Grid,Economy,False,None,None,None,12479,978,22435,1293,31960,1113,0,0,0,0,0,0,6259,9696,15518,101732,303.68
1497,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Kitchen,434,Mid,Economy,Vitrified_Tile,Standard,Grid,Premium,True,None,Basic_L,None,10121,1237,58834,2320,53950,1900,42116,1483,226811,0,50211,0,36572,96980,104856,687390,1583.85
1498,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Dining,534,Luxury,Standard,Ceramic_Tile,Luxury,Gypsum,Premium,True,Basic,None,None,9703,1086,68760,1889,103449,2254,63617,1429,0,0,0,72246,24542,84677,78057,511709,958.26
1499,2025-09-07,1.0,Chandigarh,Tier-2,1.02,600,750,Study,170,Basic,Economy,Ceramic_Tile,Standard,None,None,True,Basic,None,None,3280,673,17321,829,0,0,22877,728,0,0,0,43055,7025,12693,19527,128007,752.99
1500,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Living Room,203,Mid,Standard,Epoxy,Standard,None,None,True,Standard,None,None,4818,621,14890,917,0,0,17246,590,0,0,0,94534,7157,26055,30029,196858,969.75
1501,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Study,322,Luxury,Economy,Engineered_Wood,Luxury,None,None,True,Basic,None,None,9579,1120,153983,2538,0,0,41564,1177,0,0,0,50549,19946,75287,64034,419778,1303.66
1502,2025-09-07,1.0,Coimbatore,Tier-2,0.95,520,660,Kids Room,487,Basic,Economy,Ceramic_Tile,Luxury,Grid,Economy,False,Standard,None,None,8365,1490,66352,2186,50092,1494,0,0,0,0,0,93616,13549,27055,47556,311755,640.15
1503,2025-09-07,1.0,Ranchi,Tier-3,0.9,480,620,Kitchen,486,Basic,Standard,Granite,Standard,None,None,True,None,Basic_L,None,14144,1298,185544,3080,0,0,39760,1709,151855,0,27246,0,30865,61997,93150,610648,1256.48
1504,2025-09-07,1.0,Indore,Tier-2,0.96,550,700,Study,215,Luxury,Luxury,Marble,Standard,POP,Premium,True,Premium,None,None,9874,683,129425,1040,35718,821,22023,734,0,0,0,237412,31243,109870,104192,683035,3176.91
1505,2025-09-07,1.0,Mumbai,Metro,1.3,800,950,Study,396,Luxury,Economy,Wood_Laminate,Economy,POP,Standard,True,None,None,None,11800,1342,86830,2727,49559,2400,57770,1523,0,0,0,0,18222,57125,52074,341371,862.05
1506,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Living Room,406,Mid,Economy,Wood_Laminate,Premium,None,None,True,None,None,None,12687,1156,98206,2824,0,0,68102,1046,0,0,0,0,17459,33308,42262,277048,682.38
1507,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Bathroom,267,Mid,Luxury,Vitrified_Tile,Luxury,None,None,False,None,None,Standard,10389,1066,63912,1504,0,0,0,0,0,216839,68264,0,31696,69861,83436,546967,2048.56
1508,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Study,70,Mid,Economy,Vitrified_Tile,Standard,Grid,Luxury,False,Basic,None,None,1815,707,14916,834,11099,799,0,0,0,0,0,86768,9850,23738,27095,177621,2537.44
1509,2025-09-07,1.0,Chennai,Metro,1.1,650,800,Kitchen,203,Basic,Standard,Vitrified_Tile,Standard,Grid,Standard,True,None,Basic_L,None,7765,785,42429,1545,33251,874,30554,1043,127509,0,63113,0,25695,37373,66948,438883,2161.99
1510,2025-09-07,1.0,Kolkata,Metro,1.0,600,750,Dining,317,Basic,Standard,Ceramic_Tile,Economy,None,None,False,Basic,None,None,10718,861,28589,1330,0,0,0,0,0,0,0,34029,5336,8157,16024,105044,331.37
1511,2025-09-07,1.0,Indore,Tier-2,0.96,550,700,Kitchen,192,Basic,Premium,Ceramic_Tile,Premium,Gypsum,Standard,False,None,Basic_L,None,5082,664,31550,877,25322,697,0,0,198562,0,53331,0,24285,34453,67468,442290,2303.59
1512,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Kids Room,145,Luxury,Standard,Vitrified_Tile,Economy,POP,Standard,True,Standard,None,None,3163,811,25885,1078,19817,803,23013,773,0,0,0,182658,15778,75594,62887,412260,2843.18
1513,2025-09-07,1.0,Ahmedabad,Metro,1.05,600,750,Dining,530,Mid,Premium,Ceramic_Tile,Luxury,None,None,False,Standard,None,None,21554,1625,99483,3621,0,0,0,0,0,0,0,86012,12679,32906,46418,304299,574.15
1514,2025-09-07,1.0,Delhi,Metro,1.2,750,900,Dining,267,Mid,Standard,Marble,Standard,None,None,True,Standard,None,None,6465,977,170768,1368,0,0,36718,1009,0,0,0,110150,18235,75970,75899,497559,1863.52
1515,2025-09-07,1.0,Pune,Metro,1.2,700,850,Bathroom,304,Basic,Economy,Ceramic_Tile,Standard,None,None,True,None,None,Basic,9105,1171,32828,1707,0,0,32116,1210,0,120297,66285,0,25386,27266,57127,374497,1231.9
1516,2025-09-07,1.0,Nagpur,Tier-2,0.95,520,680,Kitchen,393,Mid,Standard,Ceramic_Tile,Premium,None,None,True,None,Basic_L,None,9290,1176,49406,1883,0,0,29613,1284,160038,0,30756,0,22878,63775,66618,436718,1111.24
1517,2025-09-07,1.0,Surat,Tier-2,1.0,550,700,Kids Room,481,Luxury,Standard,Vitrified_Tile,Standard,None,None,True,Premium,None,None,13408,1671,64238,2835,0,0,63538,1475,0,0,0,479303,37757,199217,155420,1018862,2118.22
1518,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Bathroom,164,Mid,Standard,Ceramic_Tile,Economy,None,None,True,None,None,Standard,5169,737,17213,857,0,0,26032,733,0,162153,92836,0,28557,61758,71288,467335,2849.6
1519,2025-09-07,1.0,Nagpur,Tier-2,0.95,520,680,Bedroom,320,Luxury,Economy,Vitrified_Tile,Standard,None,None,True,Basic,None,None,7102,713,30172,1499,0,0,48046,929,0,0,0,59575,13448,51516,38340,251338,785.43
1520,2025-09-07,1.0,Mumbai,Metro,1.3,800,950,Kitchen,435,Luxury,Luxury,Granite,Standard,POP,Economy,True,None,Luxury_Island,None,18423,1835,199193,3854,70826,2502,85239,1693,626915,0,71868,0,54705,274917,254155,1666125,3830.17
1521,2025-09-07,1.0,Hyderabad,Metro,1.15,700,850,Study,393,Mid,Standard,Granite,Premium,POP,Economy,True,None,None,None,14708,1262,182041,2639,47080,2052,52231,1529,0,0,0,0,15841,58583,68034,446000,1134.86
1522,2025-09-07,1.0,Mumbai,Metro,1.3,800,950,Kitchen,328,Mid,Standard,Vitrified_Tile,Premium,None,None,False,None,Basic_L,None,14293,1413,85126,3057,0,0,0,0,215012,0,58081,0,30571,73134,86524,567210,1729.3
1523,2025-09-07,1.0,Patna,Tier-3,0.88,450,600,Dining,246,Luxury,Standard,Vitrified_Tile,Standard,Gypsum,Economy,True,Basic,None,None,7132,479,36049,1050,31518,570,32673,598,0,0,0,44157,11319,41024,37183,243753,990.87
1524,2025-09-07,1.0,Bhopal,Tier-2,0.93,500,640,Kids Room,129,Luxury,Standard,Engineered_Wood,Premium,POP,Premium,False,None,None,None,2712,543,37931,679,22804,507,0,0,0,0,0,0,5611,21704,16648,109139,846.04
1525,2025-09-07,1.0,Guwahati,Tier-3,0.92,500,640,Bathroom,146,Mid,Economy,Vitrified_Tile,Premium,None,None,False,None,None,Basic,4022,605,18161,537,0,0,0,0,0,102109,77126,0,16537,40917,46803,306819,2101.5
