Row_ID,Material_Price_Index,City,City_Tier,City_Multiplier,Labor_Day_Rate_Min,Labor_Day_Rate_Max,Room_Type,Area_Sqft,Renovation_Level,Paint_Quality,Floor_Type,Floor_Quality,Ceiling_Type,Ceiling_Quality,Has_Electrical,Furniture_Level,Kitchen_Package,Bathroom_Package,Painting_Material_Cost,Painting_Labor_Cost,Flooring_Material_Cost,Flooring_Labor_Cost,Ceiling_Material_Cost,Ceiling_Labor_Cost,Electrical_Material_Cost,Electrical_Labor_Cost,Kitchen_Package_Cost,Bathroom_Package_Cost,Plumbing_Cost,Furniture_Cost,Wastage_Sundries_Cost,Contractor_Overhead_Cost,GST_Amount,Grand_Total,Total_Cost_per_Sqft
111,1.0,Pune,Metro,1.2,700,850,Study,429,Mid,Standard,Ceramic_Tile,Economy,POP,Premium,False,Standard,nan,nan,10492,1218,52981,3272,76412,1907,0,0,0,0,0,175009,20494,68114,73782,483681,1127.46
112,1.0,Chandigarh,Tier-2,1.02,600,750,Dining,314,Luxury,Standard,Wood_Laminate,Premium,Gypsum,Premium,True,nan,nan,nan,7068,1012,57082,2535,65836,1260,44405,1064,0,0,0,0,9308,52096,43500,285166,908.17
113,1.0,Lucknow,Tier-2,0.92,500,650,Living Room,89,Basic,Standard,Wood_Laminate,Standard,POP,Premium,False,Basic,nan,nan,2542,564,16746,523,10246,549,0,0,0,0,0,57185,5681,12988,19264,126287,1418.95
114,1.0,Vadodara,Tier-2,0.98,550,700,Study,527,Basic,Economy,Engineered_Wood,Standard,Gypsum,Standard,True,Standard,nan,nan,13178,1237,123491,2486,95223,2480,72460,1354,0,0,0,81277,34844,40498,84335,552862,1049.07
115,1.0,Lucknow,Tier-2,0.92,500,650,Dining,100,Luxury,Standard,Vitrified_Tile,Standard,Grid,Standard,True,Standard,nan,nan,1743,629,16106,634,8762,629,9611,523,0,0,0,124464,15377,56759,42343,277579,2775.79
116,1.0,Kanpur,Tier-3,0.9,480,620,Bathroom,177,Basic,Premium,Ceramic_Tile,Standard,nan,nan,True,nan,nan,Basic,4652,550,22994,697,0,0,17819,520,0,92867,36394,0,10490,21356,37501,245841,1388.93
117,1.0,Ranchi,Tier-3,0.9,480,620,Kids Room,215,Luxury,Standard,Marble,Luxury,Grid,Luxury,True,Basic,nan,nan,6035,583,117249,1432,46529,1108,28330,785,0,0,0,37718,17596,65697,58151,381212,1773.08
118,1.0,Mumbai,Metro,1.3,800,950,Living Room,411,Basic,Economy,Ceramic_Tile,Premium,POP,Standard,True,nan,nan,nan,15977,1401,77218,3130,76369,2297,75910,1721,0,0,0,0,15612,25910,53198,348743,848.52
119,1.0,Bangalore,Metro,1.25,750,900,Living Room,135,Luxury,Economy,Ceramic_Tile,Standard,nan,nan,True,Standard,nan,nan,3045,804,19755,1230,0,0,22515,840,0,0,0,118540,14019,43517,40368,264635,1960.26
120,1.0,Surat,Tier-2,1.0,550,700,Bathroom,316,Luxury,Premium,Ceramic_Tile,Economy,nan,nan,True,nan,nan,Premium,12335,852,25071,2146,0,0,44331,1098,0,326060,75458,0,38233,136458,119167,781208,2472.18
121,1.0,Lucknow,Tier-2,0.92,500,650,Kids Room,105,Basic,Standard,Granite,Premium,nan,nan,False,Basic,nan,nan,3130,621,26852,639,0,0,0,0,0,0,0,47227,5227,8632,16619,108947,1037.59
122,1.0,Kolkata,Metro,1.0,600,750,Kitchen,204,Basic,Standard,Ceramic_Tile,Economy,Grid,Standard,False,nan,Basic_L,nan,5101,748,16704,846,30564,898,0,0,221587,0,37041,0,24346,31976,66566,436376,2139.1
123,1.0,Indore,Tier-2,0.96,550,700,Bathroom,199,Basic,Economy,Vitrified_Tile,Premium,nan,nan,False,nan,nan,Basic,3266,699,45840,1428,0,0,0,0,0,114218,86831,0,13207,29265,53056,347809,1747.78
124,1.0,Ahmedabad,Metro,1.05,600,750,Dining,476,Mid,Premium,Granite,Premium,Grid,Economy,True,Basic,nan,nan,16837,1374,135838,2147,77773,1996,42883,1859,0,0,0,32546,22604,57952,70886,464695,976.25
125,1.0,Indore,Tier-2,0.96,550,700,Dining,166,Basic,Economy,Vitrified_Tile,Premium,Grid,Premium,True,Premium,nan,nan,2727,572,19544,904,25934,700,13414,692,0,0,0,372228,25471,51096,92391,605672,3648.63
126,1.0,Patna,Tier-3,0.88,450,600,Study,497,Luxury,Economy,Engineered_Wood,Standard,nan,nan,False,nan,nan,nan,9138,1427,162613,2507,0,0,0,0,0,0,0,0,13761,57800,44504,291751,587.02
127,1.0,Guwahati,Tier-3,0.92,500,640,Living Room,377,Basic,Economy,Vitrified_Tile,Premium,Gypsum,Economy,False,nan,nan,nan,10832,735,69917,1461,50318,1054,0,0,0,0,0,0,9425,19745,29428,192916,511.71
128,1.0,Vadodara,Tier-2,0.98,550,700,Living Room,494,Mid,Standard,Vitrified_Tile,Standard,Gypsum,Premium,False,Basic,nan,nan,15205,1229,67603,3584,76721,2067,0,0,0,0,0,73408,12731,57077,55733,365360,739.59
129,1.0,Guwahati,Tier-3,0.92,500,640,Dining,498,Luxury,Luxury,Vitrified_Tile,Economy,Gypsum,Premium,True,Standard,nan,nan,13259,1277,68734,2122,62235,1578,34319,1579,0,0,0,131108,22920,80001,75444,494575,993.12
130,1.0,Hyderabad,Metro,1.15,700,850,Bedroom,169,Luxury,Economy,Vitrified_Tile,Premium,Gypsum,Standard,True,Basic,nan,nan,4330,773,34949,809,25834,740,16248,857,0,0,0,80970,11477,46177,40170,263334,1558.19
131,1.0,Ranchi,Tier-3,0.9,480,620,Living Room,335,Mid,Standard,Vitrified_Tile,Standard,nan,nan,False,Basic,nan,nan,7861,888,57076,1553,0,0,0,0,0,0,0,54912,6713,28371,28327,185701,554.33
132,1.0,Coimbatore,Tier-2,0.95,520,660,Living Room,525,Basic,Premium,Wood_Laminate,Economy,nan,nan,True,nan,nan,nan,20828,1090,107772,1899,0,0,52333,1685,0,0,0,0,13191,27656,40762,267216,508.98
133,1.0,Delhi,Metro,1.2,750,900,Kids Room,406,Luxury,Standard,Granite,Standard,Gypsum,Economy,True,Basic,nan,nan,13639,1280,170236,2823,65306,2270,41655,1600,0,0,0,60103,24492,108392,88523,580320,1429.36
134,1.0,Indore,Tier-2,0.96,550,700,Study,184,Luxury,Standard,Marble,Standard,Grid,Standard,True,Standard,nan,nan,5563,597,128359,1208,26624,680,15353,582,0,0,0,149711,30399,97945,82264,539283,2930.89
135,1.0,Mumbai,Metro,1.3,800,950,Dining,449,Basic,Standard,Marble,Economy,nan,nan,False,nan,nan,nan,19232,1812,425694,3083,0,0,0,0,0,0,0,0,40566,52179,97662,640230,1425.9
136,1.0,Chandigarh,Tier-2,1.02,600,750,Bathroom,374,Basic,Economy,Ceramic_Tile,Standard,nan,nan,True,nan,nan,Basic,11786,1068,56082,1613,0,0,27646,1002,0,101420,53218,0,15323,34014,54571,357741,956.53
137,1.0,Pune,Metro,1.2,700,850,Kitchen,382,Luxury,Premium,Ceramic_Tile,Premium,nan,nan,True,nan,Premium_U,nan,18425,1268,55113,2815,0,0,49573,1593,421895,0,51867,0,48454,151842,144512,947358,2479.99
138,1.0,Ranchi,Tier-3,0.9,480,620,Bedroom,73,Luxury,Premium,Ceramic_Tile,Standard,nan,nan,False,Basic,nan,nan,1798,576,6709,526,0,0,0,0,0,0,0,35476,3337,15644,11532,75598,1035.59
139,1.0,Ahmedabad,Metro,1.05,600,750,Bedroom,456,Luxury,Standard,Ceramic_Tile,Economy,nan,nan,True,Basic,nan,nan,12667,1085,59871,1964,0,0,64257,1545,0,0,0,80885,14786,64460,54274,355793,780.25
140,1.0,Jaipur,Tier-2,0.95,550,700,Kids Room,151,Luxury,Economy,Vitrified_Tile,Economy,Grid,Economy,True,Basic,nan,nan,2892,671,21272,942,17482,734,16029,568,0,0,0,56065,9217,39429,29754,195055,1291.75
141,1.0,Bhopal,Tier-2,0.93,500,640,Living Room,310,Luxury,Standard,Ceramic_Tile,Economy,nan,nan,True,Basic,nan,nan,5863,741,39577,1559,0,0,32832,1099,0,0,0,28119,6775,31620,26673,174858,564.06
142,1.0,Kolkata,Metro,1.0,600,750,Dining,436,Mid,Premium,Vitrified_Tile,Economy,nan,nan,False,Basic,nan,nan,13237,1272,58356,1977,0,0,0,0,0,0,0,30896,5146,24214,24317,159415,365.63
143,1.0,Ahmedabad,Metro,1.05,600,750,Living Room,402,Mid,Economy,Ceramic_Tile,Standard,nan,nan,True,nan,nan,nan,7260,888,51337,2267,0,0,67389,1245,0,0,0,0,12012,23600,29879,195876,487.25
144,1.0,Nagpur,Tier-2,0.95,520,680,Bedroom,179,Luxury,Economy,Ceramic_Tile,Economy,POP,Standard,True,nan,nan,nan,3075,634,20083,862,22182,558,17723,608,0,0,0,0,5345,22872,16909,110851,619.28
145,1.0,Kanpur,Tier-3,0.9,480,620,Bedroom,214,Luxury,Standard,Wood_Laminate,Standard,Gypsum,Premium,True,Basic,nan,nan,4838,606,33498,1011,50460,788,22983,613,0,0,0,37553,7562,39611,35914,235438,1100.18
146,1.0,Bangalore,Metro,1.25,750,900,Bedroom,470,Luxury,Luxury,Ceramic_Tile,Premium,nan,nan,True,Basic,nan,nan,24922,1703,111519,3969,0,0,86188,1792,0,0,0,44744,24749,82176,68717,450479,958.47
147,1.0,Mumbai,Metro,1.3,800,950,Bedroom,478,Luxury,Standard,Ceramic_Tile,Premium,nan,nan,True,nan,nan,nan,14020,2002,66445,3371,0,0,70244,1796,0,0,0,0,8534,49731,38906,255049,533.58
148,1.0,Mumbai,Metro,1.3,800,950,Kids Room,146,Mid,Standard,Marble,Standard,Gypsum,Standard,True,Basic,nan,nan,5389,917,158288,909,25136,807,25321,902,0,0,0,75726,28666,70708,70698,463467,3174.43
149,1.0,Varanasi,Tier-3,0.9,480,620,Kids Room,232,Luxury,Standard,Vitrified_Tile,Standard,POP,Premium,True,Basic,nan,nan,5469,573,37774,1056,28393,905,20641,698,0,0,0,51772,9930,46983,36755,240948,1038.57
150,1.0,Ahmedabad,Metro,1.05,600,750,Bedroom,290,Luxury,Premium,Ceramic_Tile,Standard,Grid,Economy,True,Standard,nan,nan,9667,1064,37932,1806,44978,1194,30656,939,0,0,0,118857,21394,72893,61448,402828,1389.06
151,1.0,Guwahati,Tier-3,0.92,500,640,Bathroom,413,Mid,Economy,Ceramic_Tile,Premium,nan,nan,True,nan,nan,Basic,8140,921,55516,2651,0,0,31400,1154,0,75215,42910,0,19743,48375,51484,337508,817.21
152,1.0,Pune,Metro,1.2,700,850,Bathroom,465,Basic,Economy,Vitrified_Tile,Standard,nan,nan,False,nan,nan,Basic,16189,1425,90636,3945,0,0,0,0,0,87497,109730,0,27955,42081,68303,447762,962.93
153,1.0,Bhopal,Tier-2,0.93,500,640,Dining,444,Basic,Economy,Granite,Premium,Gypsum,Economy,False,Standard,nan,nan,10843,1224,156724,1877,83932,2033,0,0,0,0,0,144004,25686,54086,86474,566883,1276.76
154,1.0,Mysuru,Tier-3,0.94,520,660,Dining,483,Luxury,Standard,Vitrified_Tile,Economy,Grid,Economy,True,Standard,nan,nan,13686,1094,68707,3095,39275,1626,59043,1286,0,0,0,102077,26120,93924,73788,483718,1001.49
155,1.0,Delhi,Metro,1.2,750,900,Dining,121,Mid,Standard,Marble,Economy,Gypsum,Premium,False,Basic,nan,nan,3011,793,95374,794,29482,861,0,0,0,0,0,50256,15891,29794,40726,266982,2206.46
156,1.0,Mysuru,Tier-3,0.94,520,660,Kitchen,402,Basic,Standard,Ceramic_Tile,Luxury,nan,nan,False,nan,Basic_L,nan,8810,1324,68586,1676,0,0,0,0,230329,0,48343,0,27535,52424,79025,518054,1288.69
157,1.0,Guwahati,Tier-3,0.92,500,640,Living Room,442,Basic,Economy,Ceramic_Tile,Standard,Gypsum,Economy,False,Standard,nan,nan,7669,1161,50638,1750,71679,1165,0,0,0,0,0,131134,24064,30498,57556,377314,853.65
158,1.0,Jaipur,Tier-2,0.95,550,700,Bathroom,449,Luxury,Premium,Ceramic_Tile,Standard,nan,nan,True,nan,nan,Premium,10813,1091,52450,2400,0,0,42599,1599,0,485101,89264,0,34311,196001,164813,1080443,2406.33
159,1.0,Varanasi,Tier-3,0.9,480,620,Kitchen,283,Luxury,Standard,Ceramic_Tile,Luxury,nan,nan,True,nan,Luxury_Island,nan,5974,627,43937,956,0,0,36232,997,696378,0,52369,0,48732,260453,206398,1353055,4781.11
160,1.0,Patna,Tier-3,0.88,450,600,Dining,73,Basic,Standard,Marble,Economy,Grid,Standard,True,nan,nan,nan,2069,481,43810,515,7340,500,9089,534,0,0,0,0,3921,7141,13572,88972,1218.8
161,1.0,Nagpur,Tier-2,0.95,520,680,Bathroom,372,Mid,Standard,Ceramic_Tile,Economy,nan,nan,True,nan,nan,Standard,10689,775,47028,1715,0,0,46553,1309,0,192102,39610,0,19425,61840,75788,496834,1335.58
162,1.0,Ahmedabad,Metro,1.05,600,750,Living Room,428,Luxury,Standard,Epoxy,Standard,Grid,Premium,True,Basic,nan,nan,15464,1276,27465,3133,73139,2179,68003,1490,0,0,0,58409,14075,69906,60217,394757,922.33
163,1.0,Ahmedabad,Metro,1.05,600,750,Dining,470,Basic,Standard,Wood_Laminate,Standard,Grid,Economy,True,Basic,nan,nan,15184,1498,73422,3062,51749,1683,62061,1934,0,0,0,63858,17383,29092,57767,378692,805.73
164,1.0,Ranchi,Tier-3,0.9,480,620,Living Room,341,Mid,Luxury,Ceramic_Tile,Economy,Gypsum,Standard,True,Basic,nan,nan,13473,810,30040,1732,41054,1293,44734,1259,0,0,0,38846,15859,40019,41241,270360,792.85
165,1.0,Bangalore,Metro,1.25,750,900,Study,106,Basic,Standard,Ceramic_Tile,Premium,Gypsum,Standard,False,Basic,nan,nan,4118,782,24092,831,22187,860,0,0,0,0,0,62299,8464,16354,25197,165183,1558.33
166,1.0,Varanasi,Tier-3,0.9,480,620,Living Room,477,Luxury,Premium,Vitrified_Tile,Economy,nan,nan,True,Basic,nan,nan,14233,998,65884,3142,0,0,40265,1164,0,0,0,62616,12701,59880,46959,307841,645.37
167,1.0,Coimbatore,Tier-2,0.95,520,660,Bedroom,89,Luxury,Premium,Vitrified_Tile,Standard,nan,nan,True,Basic,nan,nan,3266,557,13689,571,0,0,8782,647,0,0,0,69717,7096,27419,23714,155458,1746.72
168,1.0,Bhopal,Tier-2,0.93,500,640,Dining,73,Basic,Economy,Marble,Standard,Grid,Standard,True,Basic,nan,nan,1256,522,48447,558,7281,523,5016,580,0,0,0,29722,7211,11456,20263,132836,1819.67
169,1.0,Mumbai,Metro,1.3,800,950,Living Room,193,Basic,Standard,Granite,Luxury,POP,Standard,True,nan,nan,nan,8263,909,94776,1398,33305,1054,32459,840,0,0,0,0,12267,21798,37272,244342,1266.02
170,1.0,Ranchi,Tier-3,0.9,480,620,Bedroom,180,Mid,Economy,Vitrified_Tile,Standard,POP,Premium,True,Basic,nan,nan,4321,596,30647,670,21763,606,25012,575,0,0,0,66367,12572,24541,33781,221451,1230.28
171,1.0,Vadodara,Tier-2,0.98,550,700,Living Room,520,Mid,Standard,Vitrified_Tile,Standard,Grid,Premium,True,Basic,nan,nan,15770,1793,72611,2026,63495,1839,41076,1372,0,0,0,44879,16199,56073,57084,374218,719.65
172,1.0,Chennai,Metro,1.1,650,800,Bathroom,382,Mid,Standard,Vitrified_Tile,Standard,nan,nan,True,nan,nan,Standard,14648,1353,63590,2002,0,0,66797,1281,0,271260,83887,0,43711,88848,114728,752105,1968.86
173,1.0,Coimbatore,Tier-2,0.95,520,660,Kids Room,405,Basic,Standard,Ceramic_Tile,Premium,Grid,Premium,True,Basic,nan,nan,10942,1347,60423,1735,44103,1625,40241,1298,0,0,0,62301,17413,23521,47691,312640,771.95
174,1.0,Kolkata,Metro,1.0,600,750,Study,307,Basic,Standard,Vitrified_Tile,Premium,POP,Standard,False,nan,nan,nan,5701,915,40024,1741,27548,1038,0,0,0,0,0,0,3720,8466,16048,105201,342.67
175,1.0,Mysuru,Tier-3,0.94,520,660,Bedroom,511,Luxury,Premium,Vitrified_Tile,Premium,POP,Standard,True,nan,nan,nan,19815,1186,110825,2834,56500,2145,44764,1374,0,0,0,0,16729,66565,58093,380830,745.26
176,1.0,Nagpur,Tier-2,0.95,520,680,Dining,302,Basic,Luxury,Vitrified_Tile,Standard,Gypsum,Standard,True,nan,nan,nan,11237,826,45819,1493,40132,1017,27501,811,0,0,0,0,9692,17779,28135,184442,610.73
177,1.0,Kolkata,Metro,1.0,600,750,Bathroom,220,Basic,Standard,Vitrified_Tile,Luxury,nan,nan,True,nan,nan,Basic,7363,742,57289,1332,0,0,27648,859,0,154768,76488,0,26108,47341,71989,471929,2145.13
178,1.0,Patna,Tier-3,0.88,450,600,Bedroom,477,Mid,Standard,Granite,Luxury,Gypsum,Premium,False,nan,nan,nan,13755,897,167168,1768,80515,1602,0,0,0,0,0,0,25837,56330,62617,410489,860.56
179,1.0,Mysuru,Tier-3,0.94,520,660,Dining,290,Luxury,Standard,Ceramic_Tile,Standard,Gypsum,Economy,True,nan,nan,nan,6583,935,27683,1664,39718,825,23495,774,0,0,0,0,5361,25521,23860,156418,539.37
180,1.0,Lucknow,Tier-2,0.92,500,650,Kids Room,183,Mid,Economy,Vitrified_Tile,Premium,Gypsum,Premium,False,nan,nan,nan,3946,501,38034,854,31126,651,0,0,0,0,0,0,6630,17727,17905,117374,641.39
181,1.0,Bhopal,Tier-2,0.93,500,640,Kids Room,372,Mid,Standard,Ceramic_Tile,Standard,Grid,Standard,True,nan,nan,nan,10991,922,46486,1668,47280,1073,47150,1261,0,0,0,0,12393,35130,36784,241138,648.22
182,1.0,Chennai,Metro,1.1,650,800,Kids Room,150,Mid,Standard,Wood_Laminate,Standard,nan,nan,False,Premium,nan,nan,3192,702,37167,944,0,0,0,0,0,0,0,461259,38146,96627,114847,752883,5019.22
183,1.0,Coimbatore,Tier-2,0.95,520,660,Bathroom,150,Basic,Economy,Ceramic_Tile,Standard,nan,nan,False,nan,nan,Basic,3943,549,22079,938,0,0,0,0,0,123273,43430,0,15592,20587,41471,271863,1812.42
184,1.0,Bangalore,Metro,1.25,750,900,Study,517,Mid,Economy,Wood_Laminate,Standard,nan,nan,True,Basic,nan,nan,11767,2476,157197,3348,0,0,61082,1780,0,0,0,48565,22255,51805,64849,425124,822.29
185,1.0,Kanpur,Tier-3,0.9,480,620,Study,375,Luxury,Standard,Ceramic_Tile,Standard,POP,Premium,False,Basic,nan,nan,8838,1016,38130,2074,44047,911,0,0,0,0,0,27411,8470,35871,30018,196786,524.76
186,1.0,Jaipur,Tier-2,0.95,550,700,Dining,180,Basic,Economy,Marble,Premium,Grid,Standard,False,Basic,nan,nan,3424,657,96716,756,26466,648,0,0,0,0,0,69040,11567,25109,42189,276572,1536.51
187,1.0,Jaipur,Tier-2,0.95,550,700,Bedroom,375,Luxury,Premium,Epoxy,Standard,POP,Standard,True,nan,nan,nan,8801,1431,31425,1767,37153,1361,56935,1050,0,0,0,0,12381,41278,34845,228427,609.14
188,1.0,Chennai,Metro,1.1,650,800,Bedroom,197,Mid,Standard,Engineered_Wood,Economy,nan,nan,True,Premium,nan,nan,6911,794,50675,1247,0,0,24157,766,0,0,0,364435,37511,70491,100257,657243,3336.26
189,1.0,Jaipur,Tier-2,0.95,550,700,Kitchen,146,Luxury,Luxury,Granite,Standard,POP,Standard,False,nan,Luxury_Island,nan,5603,580,37462,616,18035,657,0,0,949266,0,43574,0,72269,268171,251322,1647555,11284.62
190,1.0,Bangalore,Metro,1.25,750,900,Living Room,145,Basic,Standard,Ceramic_Tile,Luxury,Grid,Premium,False,Basic,nan,nan,3448,803,22480,1064,35273,887,0,0,0,0,0,45921,10169,14723,24258,159026,1096.73
191,1.0,Bhopal,Tier-2,0.93,500,640,Study,280,Mid,Standard,Ceramic_Tile,Standard,Gypsum,Standard,False,Standard,nan,nan,6120,594,38759,1150,40149,1056,0,0,0,0,0,132035,14805,44852,50314,329835,1177.98
192,1.0,Guwahati,Tier-3,0.92,500,640,Living Room,223,Basic,Standard,Ceramic_Tile,Standard,POP,Standard,True,Basic,nan,nan,5428,577,26932,908,15945,736,26211,637,0,0,0,54754,6781,17573,28167,184648,828.02
193,1.0,Ahmedabad,Metro,1.05,600,750,Dining,414,Basic,Economy,Ceramic_Tile,Standard,nan,nan,False,nan,nan,nan,7574,1602,67404,2367,0,0,0,0,0,0,0,0,3901,11605,17002,111457,269.22
194,1.0,Bangalore,Metro,1.25,750,900,Kids Room,215,Basic,Economy,Wood_Laminate,Premium,Grid,Standard,True,Basic,nan,nan,5133,870,52073,1557,38875,1187,37980,916,0,0,0,70869,16394,31000,46234,303086,1409.7
195,1.0,Surat,Tier-2,1.0,550,700,Kitchen,334,Mid,Standard,Ceramic_Tile,Standard,Gypsum,Premium,True,nan,Basic_L,nan,7849,835,41422,1918,39559,1308,50143,771,147385,0,53768,0,28736,80720,81795,536209,1605.42
196,1.0,Lucknow,Tier-2,0.92,500,650,Dining,315,Luxury,Economy,Vitrified_Tile,Economy,nan,nan,True,Standard,nan,nan,5308,734,46744,1372,0,0,39158,1178,0,0,0,137043,17989,79417,59210,388152,1232.23
197,1.0,Hyderabad,Metro,1.15,700,850,Dining,378,Basic,Standard,Ceramic_Tile,Economy,nan,nan,False,nan,nan,nan,13521,1086,58460,2965,0,0,0,0,0,0,0,0,6397,10417,16712,109559,289.84
198,1.0,Nagpur,Tier-2,0.95,520,680,Bedroom,216,Basic,Standard,Epoxy,Standard,Gypsum,Standard,False,nan,nan,nan,4228,628,27760,1373,26268,651,0,0,0,0,0,0,4074,7065,12969,85016,393.59
199,1.0,Vadodara,Tier-2,0.98,550,700,Kids Room,404,Basic,Economy,Vitrified_Tile,Standard,POP,Standard,False,nan,nan,nan,9813,1216,47229,1800,45847,1691,0,0,0,0,0,0,6713,13342,22977,150627,372.84
200,1.0,Surat,Tier-2,1.0,550,700,Dining,464,Mid,Standard,Vitrified_Tile,Luxury,Gypsum,Economy,True,Basic,nan,nan,13758,1052,111312,2039,63404,1434,41208,1738,0,0,0,42933,20215,59122,64479,422694,910.98
